id,Артикул,Имя,Краткое описание,Описание,Базовая цена,Категории,Изображения
102,ст142Б-3708000,Стартер КАМАЗ г. Борисов,"&nbsp;Стартер - устройство, которое запускает двигатель внутреннего сгорания. Стартер состоит из электрического двигателя, якоря, втягивающего реле, бендикса, щеток и их держателей. Стартер - это двигатель постоянного тока, у него имеется две обмотки (роторная и статорная). Задача стартера - раскрутить коленчатый вал двигателя, чтобы заработала система зажигания. Артикул - СТ142Б2-3708000 Альтернативное описание - Стартер КАМАЗ, УРАЛ, ЗИЛ, ЛАЗ, ЛИАЗ двигатель 740,7403 24V 8.2кВт z=10 Характеристики: Вес, кг - 24,3 Ширина, м - 0.23 Высота, м - 0.2 Длина, м - 0.47 Номинальная мощность, кВт 8.2 Номинальное напряжение, В 24 Емкость АКБ, А·ч 190 Направление вращения Правое Ток втягивающей обмотки, А 26 Ток удерживающей обмотки, А - 12.5 Число зубьев шестерни привода - 10 Модуль шестерни привода, мм - 3.75 Угол профиля зуба в градусах - 20","Стартер - устройство, которое запускает двигатель внутреннего сгорания. Стартер состоит из электрического двигателя, якоря, втягивающего реле, бендикса, щеток и их держателей. Стартер - это двигатель постоянного тока, у него имеется две обмотки (роторная и статорная). Задача стартера - раскрутить коленчатый вал двигателя, чтобы заработала система зажигания. Артикул - СТ142Б2-3708000 Альтернативное описание - Стартер КАМАЗ, УРАЛ, ЗИЛ, ЛАЗ, ЛИАЗ двигатель 740,7403 24V 8.2кВт z=10Характеристики: Вес, кг - 24,3 Ширина, м - 0.23 Высота, м - 0.2 Длина, м - 0.47 Номинальная мощность, кВт 8.2 Номинальное напряжение, В 24 Емкость АКБ, А·ч 190 Направление вращения Правое Ток втягивающей обмотки, А 26 Ток удерживающей обмотки, А - 12.5 Число зубьев шестерни привода - 10 Модуль шестерни привода, мм - 3.75 Угол профиля зуба в градусах - 20",9700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200221_095326-scaled.jpg
103,2501-370800-40,Стартер ЯМЗ г. Ржев 11 зубов,"Стартер - устройство, которое запускает двигатель внутреннего сгорания. Стартер состоит из электрического двигателя, якоря, втягивающего реле, бендикса, щеток и их держателей. Стартер - это двигатель постоянного тока, у него имеется две обмотки (роторная и статорная) . Задача стартера – раскрутить коленчатый вал двигателя, чтобы заработала система зажигания. Артикул - 2501-3708000-40 Вес, кг - 29&nbsp;","Стартер - устройство, которое запускает двигатель внутреннего сгорания. Стартер состоит из электрического двигателя, якоря, втягивающего реле, бендикса, щеток и их держателей. Стартер - это двигатель постоянного тока, у него имеется две обмотки (роторная и статорная) . Задача стартера – раскрутить коленчатый вал двигателя, чтобы заработала система зажигания. Артикул - 2501-3708000-40 Вес, кг - 29",11000,2,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190514_100641-scaled.jpg
104,СТ142Т-3708000,Стартер ЯМЗ г.Борисов 11 зубов,"Стартер МАЗ, УРАЛ 24В/9,2кВт СТ142Т (Д)-3708 () Артикул: СТ142Т(Д)-3708000 Доп. артикул: 5432.3708000-01, СТ142Т-10 Альтернативные описания: Стартер МАЗ,УРАЛ дв.ЯМЗ-236,238,656,658 вып.с 2006г. редукт. с доп.реле 24V 9кВт z=10 Применяется для электрооборудования в моделях ЯМЗ, ТМЗ Ширина, м - 0.15 Высота, м - 0.23 Длина, м - 0.35 Вес, кг – 11.65 Комплектующие: - привод 5432.3708600-01 - реле 5432.3708800-01 - якорь 5402.3708200 - крышка со стороны привода 5432.3708400-01 - крышка со стороны катушки 5432.3708301-01 - траверса 5404.3708320 - катушка 5432.3708110-01 - крышка реле 5432.3708890-01 - катушка реле 5432.3708880-01","Стартер МАЗ, УРАЛ 24В/9,2кВт СТ142Т (Д)-3708 () Артикул: СТ142Т(Д)-3708000 Доп. артикул: 5432.3708000-01, СТ142Т-10 Альтернативные описания: Стартер МАЗ,УРАЛ дв.ЯМЗ-236,238,656,658 вып.с 2006г. редукт. с доп.реле 24V 9кВт z=10 Применяется для электрооборудования в моделях ЯМЗ, ТМЗ Ширина, м - 0.15 Высота, м - 0.23 Длина, м - 0.35 Вес, кг – 11.65 Комплектующие: - привод 5432.3708600-01 - реле 5432.3708800-01 - якорь 5402.3708200 - крышка со стороны привода 5432.3708400-01 - крышка со стороны катушки 5432.3708301-01 - траверса 5404.3708320 - катушка 5432.3708110-01 - крышка реле 5432.3708890-01 - катушка реле 5432.3708880-01",10000,2,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200513_080855-scaled.jpg
105,5320-3414009*,Тяга рулевая продольная Камаз 5320 в сборе,"&nbsp;Взаимозаменяема с 53205-3414010, 5320-3414010Тяга рулевая входит в состав рулевого привода. Она обеспечивает кинематическую связь управляемых колес с управляющим устройством.Применение:Применяется в рулевом управлении автомобиля. 	Камаз-53205 	Камаз-53212 	Камаз-54112 	Камаз-54115 	Камаз-53229 	Камаз-65117 	Камаз-5511 	Камаз-65115 	Камаз-43253 	Камаз-43255","Взаимозаменяема с 53205-3414010, 5320-3414010Тяга рулевая входит в состав рулевого привода. Она обеспечивает кинематическую связь управляемых колес с управляющим устройством.Применение:Применяется в рулевом управлении автомобиля. 	Камаз-53205 	Камаз-53212 	Камаз-54112 	Камаз-54115 	Камаз-53229 	Камаз-65117 	Камаз-5511 	Камаз-65115 	Камаз-43253 	Камаз-43255",2150,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
106,5320-3414009,Тяга рулевая продольная Камаз 5320 в сборе новая,"&nbsp;Взаимозаменяема с 53205-3414010, 5320-3414010Тяга рулевая входит в состав рулевого привода. Она обеспечивает кинематическую связь управляемых колес с управляющим устройством.Применение:Применяется в рулевом управлении автомобиля.Камаз-53205Камаз-53212Камаз-54112Камаз-54115Камаз-53229Камаз-65117Камаз-5511Камаз-65115Камаз-43253Камаз-43255","Взаимозаменяема с 53205-3414010, 5320-3414010Тяга рулевая входит в состав рулевого привода. Она обеспечивает кинематическую связь управляемых колес с управляющим устройством.Применение:Применяется в рулевом управлении автомобиля. 	Камаз-53205 	Камаз-53212 	Камаз-54112 	Камаз-54115 	Камаз-53229 	Камаз-65117 	Камаз-5511 	Камаз-65115 	Камаз-43253 	Камаз-43255",2250,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
107,53205-3414009,Тяга рулевая продольная Камаз 53205 в сборе,"&nbsp;Тяга сошки рулевого управления КамазТяга рулевая входит в состав рулевого привода. Она обеспечивает кинематическую связь управляемых колес с управляющим устройством.Артикул - 53205-3414010Дополнительные артикулы -53205-3414009,53205-3414010Аналог - 53205-3414010, 5320-3414010","Тяга сошки рулевого управления КамазТяга рулевая входит в состав рулевого привода. Она обеспечивает кинематическую связь управляемых колес с управляющим устройством.Артикул - 53205-3414010Дополнительные артикулы -53205-3414009,53205-3414010Аналог - 53205-3414010, 5320-3414010",3350,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
108,5320-3414049,Тяга рулевая поперечная КамАЗ 5320 новая,"&nbsp;Применяется для механизмов управления и управления рулевого в моделях: 	Камаз-65115 	Камаз-53205 	Камаз-53212 	Камаз-53215 	Камаз-54112 	Камаз-54115 	Камаз-6540 	Камаз-53229 	Камаз-65116 	Камаз-65117 	Камаз-55111 	Камаз-65115 	Камаз-4308 	Камаз-43085 	Камаз-43253 	Камаз-43255 	Ширина, м - 0.05 	Высота, м - 0.05 	Длина, м - 1.75 	Вес, кг - 11.38","Применяется для механизмов управления и управления рулевого в моделях: 	Камаз-65115 	Камаз-53205 	Камаз-53212 	Камаз-53215 	Камаз-54112 	Камаз-54115 	Камаз-6540 	Камаз-53229 	Камаз-65116 	Камаз-65117 	Камаз-55111 	Камаз-65115 	Камаз-4308 	Камаз-43085 	Камаз-43253 	Камаз-43255 	Ширина, м - 0.05 	Высота, м - 0.05 	Длина, м - 1.75 	Вес, кг - 11.38",3350,1,https://deshevle-tut.ru/wp-content/uploads/2019/07/IMG_20190619_153716.jpg
109,5320-2707210,Фаркоп 10 тн.,"Прибор буксирный КАМАЗПрибор буксирный КАМАЗ 10тн в сборе Артикул: 5320-2707210 Альтернативные описания: Крюк КАМАЗ буксирный 8т в сборе (прибор буксирный) Применяется в моделях КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102, КАМАЗ-65115, КАМАЗ-43501, КАМАЗ-53501 Ширина, м - 0.2 Высота, м - 0.13 Длина, м - 0.4 Вес, кг – 21.4&nbsp;",Прибор буксирный,10500,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0511-21-07-20-10-56.jpg
110,5511-2919012-01,Штанга реактивная ЕВРО (со стопорными кольцами) Камаз,"Применяется для ходовой части и подвески автомобиля в моделях:Автомобили Камаз, кроме моделей 6520, 5460 и их модификаций.▻ Гайка, шплинт - 2 шт.▻ 1630-2919060 - 2 шт.▻ 180.3511-026 - 2 шт.Ширина, м - 0.3Высота, м - 0.12Длина, м - 0.63Вес, кг - 12.6&nbsp;","Применяется для ходовой части и подвески автомобиля в моделях:Автомобили Камаз, кроме моделей 6520, 5460 и их модификаций.▻ Гайка, шплинт - 2 шт.▻ 1630-2919060 - 2 шт.▻ 180.3511-026 - 2 шт.Ширина, м - 0.3Высота, м - 0.12Длина, м - 0.63Вес, кг - 12.6",2400,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
111,4310-2919012,Штанга реактивная КАМАЗ 4310 с пальцами,Штанга реактивная КАМАЗ 4310 с пальцами&nbsp;,Штанга реактивная КАМАЗ 4310 с пальцами&nbsp;,1550,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
112,100-3519100*,Энергоаккумулятор тип 20 КАМАЗ БОРДОВЫЙ,,Энергоаккумулятор тип 20 КАМАЗ,2700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG-20200120-WA0026.jpg
113,100-3519200*,Энергоаккумулятор тип 24 КАМАЗ,"Предназначен для привода в действие тормозных механизмов автомобиля. Предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы. Он обеспечивает прижим тормозных колодок во время длительных стоянок автомобиля, не требуя подачи сжатого воздуха. Энергоаккумулятор участвует в работе запасной тормозной системы Он монтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Камера состоит из двух частей: мембранной бесфланцевой тормозной камеры и пружинно-пневматического цилиндра.Артикул - 100-3519200Артикул аналога - 100-3519200 -10 (отличаются только углом установки хомута)Энергоаккумулятор тип 24 КАМАЗ","Предназначен для привода в действие тормозных механизмов автомобиля. Предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы. Он обеспечивает прижим тормозных колодок во время длительных стоянок автомобиля, не требуя подачи сжатого воздуха. Энергоаккумулятор участвует в работе запасной тормозной системы Он монтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Камера состоит из двух частей: мембранной бесфланцевой тормозной камеры и пружинно-пневматического цилиндра.Артикул - 100-3519200Артикул аналога - 100-3519200 -10 (отличаются только углом установки хомута)",1500,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200227_092811-scaled.jpg
114,100-3519200,Энергоаккумулятор тип 24 КАМАЗ новый,"&nbsp;Предназначен для привода в действие тормозных механизмов автомобиля. Предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы. Он обеспечивает прижим тормозных колодок во время длительных стоянок автомобиля, не требуя подачи сжатого воздуха. Энергоаккумулятор участвует в работе запасной тормозной системы Он монтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Камера состоит из двух частей: мембранной бесфланцевой тормозной камеры и пружинно-пневматического цилиндра.Артикул - 100-3519200Артикул аналога - 100-3519200 -10 (отличаются только углом установки хомута)","&nbsp;Предназначен для привода в действие тормозных механизмов автомобиля. Предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы. Он обеспечивает прижим тормозных колодок во время длительных стоянок автомобиля, не требуя подачи сжатого воздуха. Энергоаккумулятор участвует в работе запасной тормозной системы Он монтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Камера состоит из двух частей: мембранной бесфланцевой тормозной камеры и пружинно-пневматического цилиндра.Артикул - 100-3519200Артикул аналога - 100-3519200 -10 (отличаются только углом установки хомута)",2600,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200227_092811-scaled.jpg
115,100-3519200.,Энергоаккумулятор тип 24 КАМАЗ бордовый,"Предназначен для привода в действие тормозных механизмов автомобиля. Предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы. Он обеспечивает прижим тормозных колодок во время длительных стоянок автомобиля, не требуя подачи сжатого воздуха. Энергоаккумулятор участвует в работе запасной тормозной системы Он монтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Камера состоит из двух частей: мембранной бесфланцевой тормозной камеры и пружинно-пневматического цилиндра.Артикул - 100-3519200Артикул аналога - 100-3519200 -10 (отличаются только углом установки хомута)","Предназначен для привода в действие тормозных механизмов автомобиля. Предназначается для управления работой тормозных колодок путем давления, создаваемого в пневмосистеме рабочего контура или посредством воздействия пружины при работе в условиях режима стояночной системы. Он обеспечивает прижим тормозных колодок во время длительных стоянок автомобиля, не требуя подачи сжатого воздуха. Энергоаккумулятор участвует в работе запасной тормозной системы Он монтируется на тормозную камеру и состоит из силовой пружины, корпуса, поршня, толкателя и винта-оси. Камера состоит из двух частей: мембранной бесфланцевой тормозной камеры и пружинно-пневматического цилиндра.Артикул - 100-3519200Артикул аналога - 100-3519200 -10 (отличаются только углом установки хомута)",2700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG-20200120-WA0041.jpg
116,661-3519100*,Энергоаккумулятор (Матрешка)тип 20/20  КАМАЗ,"Характеристики: 	Усилие на штоке при давлении 0,6 МПа, Н: 400 	Вылет штока, мм: 57 	Диаметр пальца, мм: 12 	Угол разв. бобышек, град: 0 	Угол разв. хомутов, град: 45 	Масса, кг: 8,3 	Ширина, м - 0.18 	Высота, м - 0.4 	Длина, м - 0.18 	Вес, кг - 9.0","Энергоаккумулятор Камаз-5320, 53212, 5410, 5511, 53229, 65116 нового образца 20/20Артикул -661-3519100Дополнительный артикул -100-3519100Применение: 	Камаз-5320 	Камаз-53212 	Камаз-5410 	Камаз-5511 	Камаз-53229 	Камаз-65116 	МАЗ-5337 	МАЗ-53371 	МАЗ-54323 	МАЗ-5516 	МАЗ-5551",1700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_1106-26-05-21-02-18.jpg
117,661-3519200*,Энергоаккумулятор (Матрешка)тип 24/20 КАМАЗ,"&nbsp;Применение:Камаз-6426Камаз-53229Камаз-65116Камаз-65111Камаз-65115Камаз-65117Камаз-53228Камаз-53229Камаз-43114КрАЗ-5444КрАЗ-6437МАЗ-4323МАЗ-5554МАЗ-5336Ширина, м - 0.21Высота, м - 0.21Длина, м - 0.44Вес, кг - 9.002","Энергоаккумулятор Камаз, МАЗ, КрАЗ нового образца 24/20",1700,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20190312_133304-scaled.jpg
118,33-1111007,ТНВД в сборе на двигатель 740.10 210л/с,"Автомобили КАМАЗ: 4310,43101,5320,54112,55102,5511, УРАЛ-4320, ЗИЛ-133ГЯ Двигатель 740.10 мощность 210 л.с., форсунка 33.1112010","Автомобили КАМАЗ: 4310,43101,5320,54112,55102,5511, УРАЛ-4320, ЗИЛ-133ГЯ Двигатель 740.10 мощность 210 л.с., форсунка 33.1112010",0,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200313_113511-scaled.jpg
119,334-1111005,ТНВД в сб. (ТУРБО)на двигатель 7403.10 240 л/с,"Автомобили КАМАЗ: 43101-01,43114,43118-01,4326-01,53211-01,53212-01,53213-01,53228-01,53229-01, 54112-01,55111-01,ГАЗ-5903. Двигатель 7403.10, идет плунжерная пара 33, муфта ОВТ-33 мощность 260л.с., форсунка 271.1112010-02","Автомобили КАМАЗ: 43101-01,43114,43118-01,4326-01,53211-01,53212-01,53213-01,53228-01,53229-01, 54112-01,55111-01,ГАЗ-5903. Двигатель 7403.10, идет плунжерная пара 33, муфта ОВТ-33 мощность 260л.с., форсунка 271.1112010-02",0,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200313_113447-scaled.jpg
120,337-1111005-20.07,ТНВД Евро-2 на двигатель 740.55 300л/с,"Двигатель КАМАЗ 740.55-300 ЕВРО-2 мощность 300л.с., форсунка 273.1112010-20","Двигатель КАМАЗ 740.55-300 ЕВРО-2 мощность 300л.с., форсунка 273.1112010-20",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0598-28-07-20-01-41-e1595933385844.jpg
121,402 698 818,ТНВД BOSH Евро- на двигатель 740.63 400л/с.,"Насос топливный высокого давления (ТНВД) Камаз 0402698818/0 402 698 818 (BOSCH)Артикул - 0402698818Дополнительный артикул - 0 402 698 818, BOSCH-0402698818Применение:Используется в системе питания для подготовки подачи топлива в двигатель.Характеристики:Подготовка топлива: рядный насос впрыскаВид топлива: дизельноеШирина, м - 0,23Высота, м - 0,4Длина, м - 0,65Вес, кг - 26","Насос топливный высокого давления (ТНВД) Камаз 0402698818/0 402 698 818 (BOSCH)Артикул - 0402698818Дополнительный артикул - 0 402 698 818, BOSCH-0402698818Применение:Используется в системе питания для подготовки подачи топлива в двигатель.Характеристики:Подготовка топлива: рядный насос впрыскаВид топлива: дизельноеШирина, м - 0,23Высота, м - 0,4Длина, м - 0,65Вес, кг - 26",0,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0246-28-07-20-01-51.jpg
122,445 020 089,ТНВД Bosch (089) Евро-3 / Common Rail,"Используется в системе питания для подготовки подачи топлива в двигатель. Аналог КАМАЗ 201149059. Устанавливается на автомобили КАМАЗ, двигатели 740.70-280 / 740.75-440 евро 4. Вес, кг - 4,5","Используется в системе питания для подготовки подачи топлива в двигатель. Аналог КАМАЗ 201149059. Устанавливается на автомобили КАМАЗ, двигатели 740.70-280 / 740.75-440 евро 4. Вес, кг - 4,5",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0599-28-07-20-01-45.jpg
123,402 648 608,ТНВД BOSH Евро-2 на двигатель 740.31 240л/с,Наименование: ТНВД BOSCH(Бош) 0402648608 Артикул: 0 402 648 608 Описание детали: ТНВД Характеристики: Подготовка топлива: рядный насос впрыска Вид топлива: дизельное топливо Применяемость: KAMAZ 4 43114 10850 240 Дизель KAMAZ 4 4326 10850 239 Дизель KAMAZ 5 53215 10850 239 Дизель,Наименование: ТНВД BOSCH(Бош) 0402648608 Артикул: 0 402 648 608 Описание детали: ТНВД Характеристики: Подготовка топлива: рядный насос впрыска Вид топлива: дизельное топливо Применяемость: KAMAZ 4 43114 10850 240 Дизель KAMAZ 4 4326 10850 239 Дизель KAMAZ 5 53215 10850 239 Дизель,0,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_0413-28-07-20-01-58.jpg
124,740.60-1118013/12,"Турбокомпрессор КАМАЗ ТКР 7С-6М  Евро 2, 3, 4 левый/правый","Турбокомпрессор КАМАЗ ТКР7С-6М левый Евро 2, 3, 4","Турбокомпрессор КАМАЗ ТКР7С-6М левый /правый Евро 2, 3, 4Турбокомпрессор 7С6М КАМАЗ может устанавливаться на двигатели ЕВРО 2,3,4, крепление с патрубком через хомут V-образный 06152096108 КАМАЗ ( NORMA Германия) Артикул: 740.60-1118013 Доп. артикул: 7406.1118013-01, 7406.1118010Альтернативные описания: Турбокомпрессор КАМАЗ дв.ЕВРО-2,3 левый (4 шп.)Применяется для двигателя и системы питания двигателя в моделях КАМАЗ-6520, КАМАЗ-6522, КАМАЗ-65116, КАМАЗ-43501, КАМАЗ-53501, КАМАЗ-53504, КАМАЗ-6450, 740.11-240 (Евро 1), 740.30-260 (Евро 2), 740.31-240 (Евро 2) Ширина, м - 0.22 Высота, м - 0.23 Длина, м - 0.26 Вес, кг – 8.6",10300,1,https://deshevle-tut.ru/wp-content/uploads/2021/01/e6e38c15-b767-4974-a3c3-c3e8836704ff.jpg
125,К27-145-01/02,Турбокомпрессор КАМАЗ Евро-2 К27-145-01/02,,"Турбокомпрессор камаз к27-145-01/02Артикул:7403-1118010Характеристики:Ширина, м - 0.2Высота, м - 0.186Длина, м - 0.216Вес, кг 7.35Подача турбокомпрессора: 0,12±0,001 кг/сДиаметр колеса компрессора: 61 ммДиаметр колеса турбины: 61 ммЧастота вращения вала ротора: 75000 об/минКПД компрессора, не менее: 0,66КПД турбины, не менее: 0,68Применение: применяется для двигателей и системе питания в моделях КАМАЗ",11500,1,https://deshevle-tut.ru/wp-content/uploads/2021/01/IMG_0927-03-02-21-02-08.jpg
126,740.21-1118013,Турбокомпрессор ТКР7С-9 КАМАЗ Евро-1 левый/правый,,"Турбокомпрессор ТКР7С-9 КАМАЗ Евро-1 левый /правыйАртикул: 740.21-1118013/12 Доп. артикул: 740.21-1118010Альтернативные описания: Турбокомпрессор КАМАЗ дв.ЕВРО-1 левый (аналог К27(2075553001),К27-115-02) (4 шп.) КАМАЗ №Применяется для двигателя и системы питания двигателя в моделях КАМАЗ-5315, КАМАЗ-5297, КАМАЗ-6540, 740.13-260 (Евро 1), 740.14-300 (Евро 1)Ширина, м - 0.22 Высота, м - 0.23 Длина, м - 0.26 Вес, кг – 10.1",10300,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
127,К36-87-01,"Турбокомпрессор МАЗ, УРАЛ, КрАЗ  ЯМЗ-238Д, ДЕ, ДЕ2 ТКР/К36-87-01 8.8659/56",,"Аналог с К36-30-01/04Применение:На двигатели ЯМЗ-238Б, БЕ, БЕ2, Д, ДЕ, ДЕ2, 7511, 7512, 7513, 7514.",15500,"2, 4",https://deshevle-tut.ru/wp-content/uploads/2021/01/96bee6c5-c999-4fac-b312-7691b2e22750.jpg
128,"4043980,4955908",Турбокомпрессор  на дв.CUMMINS 6ISBe модель HE351W,,,22800,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
129,ТКР-11Н-3,"Турбокомпрессор ЧТЗ Т-130,Т-170 Д-160 ТКР-11Н-3",,"Двигатель Д-160; Д-170Транспортное средство Трактор Т-130/170Масса (кг) 22,6Угол разворота ao: - Угол разворота bo: - Диаметр колеса компрессора (мм): 110/65 Диаметр колеса турбины (мм): 110/88 Частота вращения вала ротора (об/мин): 45000 Максимальнная степень повышения давления: 1,8 Производительность кг/с (м3/ч): 0,18 Допустимая температура газов перед турбиной Сo без огр. по времени: 650 Адиабатический КПД компрессора (max): 0,72 Эффективный КПД турбины (мах): 0,74 Взаимозаменяемый аналог (Сервис Турбо): ТКР-9С3",11500,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
130,12-1118010,ТурбокомпрессорТКР9-22,,"Турбокомпрессор ТКР-9-22 разработан для высоконагруженных дизельных двигателей ТМЗ, ЯМЗ-238Б, ЯМЗ-238Д, ЯМЗ-7511, 7512, 7513, 7514, ЯМЗ-240ПМ2, ЯМЗ-8401.10, 8421.10, 8424, ЯМЗ-850, ЯМЗ-8501. Подача турбокомпрессора, кг/с: 0,2...0,55 Диаметр колеса компрессора, мм: 102 Диаметр колеса турбины, мм: 96 Частота вращения вала ротора, об/мин: 45000 КПД компрессора, не менее: 0,8 КПД турбины, не менее: 0,65 Ширина, м - 0,235 Высота, м - 0,28 Длина, м - 0,295 Вес, кг - 18",11500,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
131,314448/50,Турбокомпрессор КАМАЗ Евро-2  S2B314448 левый/правыйS2B314450  S2B/7624TAE/0.76D9,,"Турбокомпрессор КАМАЗ Евро-2 S2B314448 левый/правый S2B/7624TAE/0.76D9Артикул: 314448 Дополнительный артикул: S2BЕ2/7624ТАЕ/0,76, S2B 314448Турбина 314448 л.S2B/7624TAE/0,76D9 на КАМАЗ(ЕВРО-2).Аналоги: РФК27 ТИ (2075553003), РФ ТКР 7 С6, на двигатели Камаз 740.31-240, 740.30-260, 740.51-320, 740.50-360. ПроизводительПрименяемость: КАМАЗ Евро-2Ширина, м - 0.22 Высота, м - 0.25 Длина, м - 0.22 Вес, кг - 8.68",12800,1,https://deshevle-tut.ru/wp-content/uploads/2021/01/IMG_1034-16-04-21-09-37.jpg
132,12749880003,Турбокомпрессор КАМАЗ Евро-3 12749880003  S2BЕ3/7624TAE/1.0D9 левый/правый,,"Турбокомпрессор КАМАЗ Евро-3 12749880003S2BЕ3/7624TAE/1.0D9 левый / правыйАртикул: 12749880003 Дополнительный артикул: S2B 12749880003, S2BЕ3/7624ТАЕ/1,0 D9, 7406.1118010Применяется для двигателей и системе питания в моделях КАМАЗ Ширина, м - 0.22 Высота, м - 0.025 Длина, м - 0.22 Вес, кг - 9.24 Турбина 12749880003л.S2B/7624TAE/0,76D9 на КАМАЗ(ЕВРО-3). АналогРФК27 ТИ (2075553005). Аналог РФ ТКР 7 С6,на двигатели Камаз 740.60,740.61, 740.62, 740.63, 740.64, 740.65.Применяемость: КАМАЗ Евро-3",12800,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
133,33-1111007*,ТНВД в сборе на двигатель 740.10 210л/с  с новыми плунжерами,"Автомобили КАМАЗ: 4310,43101,5320,54112,55102,5511, УРАЛ-4320, ЗИЛ-133ГЯ Двигатель 740.10 мощность 210 л.с., форсунка 33.1112010","Автомобили КАМАЗ: 4310,43101,5320,54112,55102,5511, УРАЛ-4320, ЗИЛ-133ГЯ Двигатель 740.10 мощность 210 л.с., форсунка 33.1112010",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/IMG_20200313_113511-scaled.jpg
134,337-1111005-40,ТНВД Евро-1 на двигатель 740.11 240л/с,,"ТНВД с муфтой ОВТ Двигатель КАМАЗ 740.11-240, ЕВРО-1Автомобили КАМАЗ-4326,4350,53202,53205-02,53212-02,53213,53215,53228-02,53229-02,54105-02, 54112-02,54115,55111-02,65115 мощность 240 л.с.,форсунка 273.1112010-31",,1,https://deshevle-tut.ru/wp-content/uploads/2021/02/IMG_1438-06-10-21-09-14.jpg
135,337-1111005-42,ТНВД Евро-2 на двигатель 740.13 260л/с,,"привод без муфты ОВТ Автомобили КАМАЗ: 43118,44108,65111,6540.Двигатель КАМАЗ 740.13-260 ЕВРО-1 мощность 260л.с.,форсунка 273.1112010-20",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
136,337-1111005-20,ТНВД Евро-2 на двигатель 740.30 260л/с,,"EURO-2, КамАЗ-65115, -65116, -65117, -6540 для двигателей 740.30-260 ЕВРО-2, мощность 260 л/с,форсунка 273.1112010-20",,1,https://deshevle-tut.ru/wp-content/uploads/2021/02/FullSizeRender-28-07-20-02-04.jpg
137,337-1111005-20.03,ТНВД Евро-2 на двигатель 740.51 320л/с,,"Автомобили КАМАЗ-6520,-6522. для двигателя КАМАЗ 740.51-320 ЕВРО-2 Мошность 320л/с,форсунка 273.1112010-20.",,1,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg
