"Номер по каталогу","Наименование","Ед. изм.","Цена руб","Количество","Сумма, руб"
"245-1005128","Шайба болтов маховика 245 дв.","шт","91.00","","0.00"
"406-1005128","Шайба болтов маховика 406","шт","68.00","","0.00"
"4146-1308032-01","Шайба вентилятора УАЗ (УМЗ)","шт","31.00","","0.00"
"1/05166/73","Шайба гроверная d  8","шт","1.00","","0.00"
"1/05168/71","Шайба гроверная d 10","шт","1.00","","0.00"
"1/05170/77","Шайба гроверная d 12","шт","2.00","","0.00"
"1/05171/71","Шайба гроверная d 14","шт","1.00","","0.00"
"","Шайба гроверная d 16","шт","2.00","","0.00"
"3205-2913518","Шайба корректирующей пружины ПАЗ","шт","49.00","","0.00"
"20-2402064-20     ","Шайба М22 гайки фланца моста В,3302","шт","113.00","","0.00"
"24-3103030","Шайба М25 ступицы В,3110,3302												","шт","47.00","","0.00"
"3102-90-1701037","Шайба М35 пружинная перв вала 31029","шт","49.00","","0.00"
"13-3103032     ","Шайба М54 упорная сальника пер ступицы 3302,2217 (ГАЗ)","шт","61.00","","0.00"
"53-2403030","Шайба М58 опорн шестер полуоси 53,3307","шт","145.00","","0.00"
"3302-2401055","Шайба М60 замочная 3302												","шт","75.00","","0.00"
"3302-3104050","Шайба М66 упорная подшипника полуоси 3302","шт","64.00","","0.00"
"51-2401050     ","Шайба М80 задн ступицы 3307 стопорн","шт","147.00","","0.00"
"662","Шайба медная (d  6) (БелЗАН)","шт","2.00","","0.00"
"1/2600","Шайба медная (d  8)","шт","3.00","","0.00"
"1/02844/60","Шайба медная (d 10) тормозных шлангов","шт","6.00","","0.00"
"1/02984/60","Шайба медная (d 12) тормозных шлангов","шт","6.00","","0.00"
"1-2800-609","Шайба медная (d 14) (БелЗАН)","шт","7.00","","0.00"
"1/02570/60","Шайба медная (d 16)","шт","8.00","","0.00"
"1/02599/60","Шайба медная (d 18)","шт","10.00","","0.00"
"","Шайба медная (d 20)","шт","7.00","","0.00"
"00001-0-0002795-609","Шайба медная (d 22)","шт","12.00","","0.00"
"","Шайба медная (d 24)","шт","10.00","","0.00"
"","Шайба медная (d 27) (БелЗАН)","шт","18.00","","0.00"
"53-2403058","Шайба опорная (регулиров) сателитов 3307,53","шт","81.00","","0.00"
"3302-2905545     ","Шайба пальца амортизатора 3302 (ГАЗ)","шт","24.00","","0.00"
"4111-1701132","Шайба пер подшипника втор вала КПП ГАЗон Next","шт","140.00","","0.00"
"5262030","Шайба повышенного трения шестерни ГРМ 21х39мм (в картере шестерен ГРМ) ISF2.8","шт","405.00","","0.00"
"3309-1701185","Шайба подшип втор вала 3308, 3310 Валдай","шт","866.00","","0.00"
"4890635 / 5256193","Шайба пружинная (крепление шестерни ТНВД) 6ISBe, ISF3.8, QSB","шт","393.00","","0.00"
"3309-1701115     ","Шайба пружинная втор вала 3309","шт","110.00","","0.00"
"120-3001022","Шайба регул.повор.кулака ПАЗ (КААЗ)","шт","50.00","","0.00"
"111-3001023","Шайба регул.повор.кулака ПАЗ (толстая) 3204/4234/4230","шт","49.00","","0.00"
"5258619 / 5291706","Шайба уплотнительная болта-штуцера (трубки подачи масла к турбине) ISF 2.8","шт","24.00","","0.00"
"53-3104050     ","Шайба упорная 3307,3309,53,66 сальника ступицы (ГАЗ)","шт","98.00","","0.00"
"52-1701104","Шайба упорная 53 вторичного вала","шт","162.00","","0.00"
"00052-00-3001029-001     ","Шайба упорная 53 ниж,вер!!!!","шт","64.00","","0.00"
"3309-1701104","Шайба упорная вторичного вала 3309","шт","263.00","","0.00"
"5340-1005194","Шайба упорная ГАЗон Next дв 5344 коленчатого вала (Автодизель/ЯМЗ)","шт","524.00","","0.00"
"53-1005029","Шайба упорная коленчатого вала 53 пер","шт","221.00","","0.00"
"63-2304024-А2","Шайба упорная передн. вед. моста 3308,66 (НИЖЕГОРОДСКИЕ МОТОРЫ/ГАЗ)","шт","235.00","","0.00"
"51-3103030-20     ","Шайба упорная подшипника 3309","шт","296.00","","0.00"
"03310-00-3103030-000     ","Шайба упорная подшипника 3310","шт","102.00","","0.00"
"50-1006021-Б","Шайба упорная распредвала дв.245","шт","93.00","","0.00"
"13-1005184-02","Шайба упорного подшипника к/вала 3307 задн","шт","155.00","","0.00"
"4021-1005184-02","Шайба упорного подшипника к/вала зад 3110,3302","шт","150.00","","0.00"
"4021-1005183-02","Шайба упорного подшипника к/вала пер 3110,3302,3307","шт","157.00","","0.00"
"293554-П29","Шайба храповика Волга","шт","16.00","","0.00"
"00011-00-0006258-000","Шайба шестерни распредвала (d13) УАЗ","шт","11.00","","0.00"
"3302-3001022","Шайба шкворня регул 3302","шт","13.00","","0.00"
"3310-40-3001022","Шайба шкворня регул 3310 Валдай (ГАЗ)","шт","31.00","","0.00"
"296870","Шарик 10-100 блокировки штоков КПП Валдай","шт","15.00","","0.00"
"3302-70-2304061-01     ","Шарнир (шрус) 33027 левый (короткий)","шт","9,473.00","","0.00"
"3302-70-2304060-01","Шарнир (шрус) 33027 правый (длин)","шт","10,420.00","","0.00"
"2310-70-2304061","Шарнир (шрус) Соболь п/п левый (короткий) (Арзамасский машиностроительный завод/ГАЗ)","шт","12,085.00","","0.00"
"2217-70-2304061","Шарнир (шрус) Соболь п/п левый с ABS","шт","16,314.00","","0.00"
"2310-70-2304060","Шарнир (шрус) Соболь п/п правый (длин)","шт","13,587.00","","0.00"
"2217-70-2304060","Шарнир (шрус) Соболь п/п правый с ABS","шт","19,314.00","","0.00"
"24-10-2905448-01     ","шарнир амортизатора","шт","171.00","","0.00"
"66-02-2304061","Шарнир поворот кулака 66 лев (короткий) (ГАЗ)","шт","13,782.00","","0.00"
"66-02-2304060","Шарнир поворот кулака 66 прав (длинный) (ГАЗ)","шт","13,782.00","","0.00"
"2217-3414029-10","Шарнир рулевой 3302,2217 в сб Оригинал (ГАЗ)","шт","390.00","","0.00"
"4013-3414029","Шарнир рулевой продольной тяги Vector Next, ГАЗон Next C41RB3 ГАЗ","шт","1,510.00","","0.00"
"4111-3414029","Шарнир рулевой продольной тяги ГАЗон Next","шт","1,420.00","","0.00"
"2217-2904414-10","Шаровая опора 2217 верхняя","шт","928.00","","0.00"
"2217-2904314-10","Шаровая опора 2217 нижняя (ГАЗ)","шт","1,201.00","","0.00"
"2123-2904414     ","Шаровая опора ГАЗель Next верх (БелМаг/ГАЗ)","шт","801.00","","0.00"
"2123-2904314     ","Шаровая опора ГАЗель Next ниж (БелМаг/ГАЗ)","шт","1,013.00","","0.00"
"66-1004045-02","Шатун 3307,66,53 (ЗМЗ)","шт","1,101.00","","0.00"
"406-1004045-01","Шатун 406 дв. (ЗМЗ)","шт","1,314.00","","0.00"
"5340-1004045-02","Шатун 5344 дв.","шт","6,425.00","","0.00"
"274-1004045","Шатун в сб дв.274","шт","1,569.00","","0.00"
"24-1004045-02","Шатун Волга,УАЗ (ЗМЗ)","шт","1,020.00","","0.00"
"421-1004045   ","Шатун УАЗ-421,4215 (100 л.с.) (УМЗ)","шт","1,302.00","","0.00"
"4509-4202010-10","Шестерня ведомая 3309 КОМ 4509","шт","1,190.00","","0.00"
"4509-4202021","Шестерня ведущая КОМ 4509","шт","1,218.00","","0.00"
"3507-4202021","Шестерня ведущая КОМ 53,3307,66,3308 (4-хКПП) косозубая","шт","1,199.00","","0.00"
"24-1005031","Шестерня коленчатого вала 402 дв.","шт","614.00","","0.00"
"13-1005031-02","Шестерня коленчатого вала 53","шт","481.00","","0.00"
"240-1005030-11","Шестерня коленчатого вала дв.245","шт","2,630.00","","0.00"
"417-1005185","Шестерня коленчатого вала УАЗ 4216","шт","500.00","","0.00"
"3302-1701106-10     ","Шестерня КПП 3302 ""Газель Бизнес"" (4216 Е4) (1-пер) вторич вала","шт","3,634.00","","0.00"
"3302-1701122","Шестерня КПП 3302 ""Газель Бизнес"" (4216 Е4) (2-пер) вторич вала","шт","3,739.00","","0.00"
"3302-1701332","Шестерня КПП 3302 (1-2-пер) 5-ти ступ с сихрон в сб","шт","6,245.00","","0.00"
"3110-1701106","Шестерня КПП 3302,3110 (1-пер) 5-ти ступ нов обр","шт","1,605.00","","0.00"
"3110-1701122","Шестерня КПП 3302,3110 (2-пер) 5-ти ступ нов обр","шт","1,730.00","","0.00"
"3309-1701108","Шестерня КПП 3309 (1-пер) втор вала с венцом синхр","шт","6,023.00","","0.00"
"3309-1701052","Шестерня КПП 3309 (2-3-пер)  пром вала","шт","3,510.00","","0.00"
"3309-1701111","Шестерня КПП 3309 (2-пер) втор вала с венцом синхр","шт","3,797.00","","0.00"
"3309-1701114","Шестерня КПП 3309 (3-пер) втор вала с кол синхр","шт","3,381.00","","0.00"
"3309-1701154","Шестерня КПП 3309 (4-пер) втор вала с венцом синхр","шт","2,978.00","","0.00"
"3309-1701059","Шестерня КПП 3309 (4-пер) пром вала (ГАЗ)","шт","2,758.00","","0.00"
"3309-1701056","Шестерня КПП 3309 блока шестерен 5 передачи 5-ст (ГАЗ)","шт","2,685.00","","0.00"
"3309-1701080","Шестерня КПП 3309 задн хода","шт","1,871.00","","0.00"
"3309-1701140","Шестерня КПП 3309 задн хода втор вала с кол синхр","шт","5,410.00","","0.00"
"3310-40-1701111    ","Шестерня КПП 3310 Валдай,33096 (2-пер) 5-ступ втор вала с венцом","шт","5,507.00","","0.00"
"3310-40-1701114","Шестерня КПП 33104 (3-пер) втор вала с венцом (НИЖЕГОРОДСКИЕ МОТОРЫ/ГАЗ)","шт","4,274.00","","0.00"
"52-1701110-31","Шестерня КПП 53 (1-пер и зад.хода) (ЗКС)","шт","1,667.00","","0.00"
"52-1701111     ","Шестерня КПП 53 (2-пер) (ГАЗ)","шт","1,498.00","","0.00"
"52-1701113-10     ","Шестерня КПП 53 (3-4-пер)","шт","1,326.00","","0.00"
"3102-90-1701128","Шестерня КПП Волга (3-4-пер) 5-ти ступ в/в","шт","1,570.00","","0.00"
"2102-90-1701128-114","Шестерня КПП Волга (3-4-пер) 5-ти ступ в/в (G-part)","шт","1,252.00","","0.00"
"3102-90-1701051","Шестерня КПП Волга (3-пер) 5-ти ступ пром вала","шт","923.00","","0.00"
"3102-90-1701082     ","Шестерня КПП Волга 5-ти ступ задн.хода промежуточная","шт","884.00","","0.00"
"3102-90-1701140","Шестерня КПП Волга,3302 5-ти ступ. задн.хода вторичного вала","шт","1,707.00","","0.00"
"2122-1701106","Шестерня КПП Газель Next (1-пер) вторич вала","шт","2,757.00","","0.00"
"2122-1701122","Шестерня КПП Газель Next (2-пер) вторич вала","шт","3,435.00","","0.00"
"2122-1701128","Шестерня КПП Газель Next (3-пер) вторич вала","шт","2,320.00","","0.00"
"2122-1701140","Шестерня КПП Газель Next задн хода втор.вала","шт","1,924.00","","0.00"
"2122-1701058","Шестерня КПП Газель Next заднего хода промеж.вала","шт","820.00","","0.00"
"2122-1701082","Шестерня КПП Газель Next промежуточная заднего хода","шт","1,209.00","","0.00"
"4111-1701108","Шестерня КПП ГАЗон Next (1-пер) втор вала","шт","6,741.00","","0.00"
"4111-1701111-10","Шестерня КПП ГАЗон Next (2-пер) втор вала н/о","шт","8,659.00","","0.00"
"4111-1701114-10","Шестерня КПП ГАЗон Next (3-пер) втор вала с венцом н/о ГАЗ","шт","7,288.00","","0.00"
"4111-1701154","Шестерня КПП ГАЗон Next (4-пер) втор вала с венцом синхр","шт","8,753.00","","0.00"
"4111-1701154-20","Шестерня КПП ГАЗон Next (4-пер) втор вала с венцом синхр (Е-5)","шт","10,574.00","","0.00"
"4111-1701140","Шестерня КПП ГАЗон Next задн хода втор вала","шт","6,858.00","","0.00"
"4146-1011032-10","Шестерня маслонасоса ведомая УАЗ","шт","149.00","","0.00"
"406-1011216-10","Шестерня маслонасоса ведущая (с гайкой) 406 дв. (ЗМЗ)","шт","1,321.00","","0.00"
"4146-1011032","Шестерня маслонасоса ведущая УАЗ","шт","149.00","","0.00"
"50-1005033-10","Шестерня привода масляного насоса дв Д245 (Евро-3,4)","шт","3,339.00","","0.00"
"414-1016018","Шестерня привода распред.зажиг УАЗ !!!","шт","135.00","","0.00"
"3302-3802034","Шестерня привода спидометра 3302 ведом","шт","186.00","","0.00"
"3302-3802033-01","Шестерня привода спидометра 3302 ведущая","шт","181.00","","0.00"
"3302-70-3802034","Шестерня привода спидометра 33027 ведом","шт","1,684.00","","0.00"
"3302-70-3802033-01     ","Шестерня привода спидометра 33027 ведущ","шт","410.00","","0.00"
"3307-3802034     ","Шестерня привода спидометра 3307 ведом","шт","230.00","","0.00"
"53-12-3802033     ","Шестерня привода спидометра 53 ведущ","шт","193.00","","0.00"
"2752-70-3802034","Шестерня привода спидометра ведомая Соболь 4х4","шт","733.00","","0.00"
"3309-3802034-10","Шестерня привода спидометра КПП 3309 ведом","шт","814.00","","0.00"
"3309-3802033-10","Шестерня привода спидометра КПП 3309 ведущ","шт","853.00","","0.00"
"3310-40-3802033-10     ","Шестерня привода спидометра КПП 33104 ведущая","шт","1,001.00","","0.00"
"3955153 / 4893389 …","Шестерня привода ТНВД (Евро-3) 4ISBe, 6ISBe, ISF3.8, ISDe, QSB","шт","1,355.00","","0.00"
"5256325","Шестерня привода ТНВД ISF2.8","шт","1,389.00","","0.00"
"00245-00-1006311-031","Шестерня привода топливного насоса дв.245","шт","3,180.00","","0.00"
"240-1006240-12","Шестерня промежуточная дв. 245 (ММЗ)","шт","6,140.00","","0.00"
"3955152 / 4896380","Шестерня распредвала 4ISBe, 6ISBe, ISF3.8, ISDe, QSB / DCEC","шт","3,321.00","","0.00"
"511-1006020","Шестерня распредвала 53 (ЗМЗ) пластм","шт","931.00","","0.00"
"511-1000106","Шестерня распредвала 53 (к-т) (ЗМЗ)","компл","1,611.00","","0.00"
"240-1006214-А1","Шестерня распредвала ЗИЛ-5301 ""Бычок"" (14) дв.245","шт","3,248.00","","0.00"
"4216-1006001-09","Шестерня распредвала УАЗ 4213 дв,4216 дв (с отметчиком,шайбой) (УМЗ/ГАЗ)","шт","1,925.00","","0.00"
"53-01-2403055     ","Шестерня сателлитов 53 мал (ГАЗ)","шт","913.00","","0.00"
"","Шестигранник 10мм.","шт","67.00","","0.00"
"","Шестигранник 17мм.","шт","251.00","","0.00"
"","Шестигранник 19мм.","шт","349.00","","0.00"
"2217-6305264","Шип направляющий двери задка 2217","шт","476.00","","0.00"
"2705-6425310-01","Шип направляющий фиксатора сдвижн дв","шт","321.00","","0.00"
"153067","Шип фиксатора двери 3302 (нов обр) (БРАНОРУС)","шт","159.00","","0.00"
"3302-3000100","Шкворень 3302 в сб (ГАЗ)","шт","1,144.00","","0.00"
"33027-2304130","Шкворень 33027 верх","шт","299.00","","0.00"
"3307-3000100","Шкворень 3307 в сб (ГАЗ) больше не заказывать","шт","1,211.00","","0.00"
"3307-3000100-01","Шкворень 3307 в сб класс ОРИГИНАЛ (ГАЗ)","шт","1,482.00","","0.00"
"3310-40-3001019     ","Шкворень 3310","шт","695.00","","0.00"
"3310-40-3000101","Шкворень 3310 Валдай в сб (к-т 2шт) (ГАЗ)","шт","2,027.00","","0.00"
"3307-2806032","Шкворень буксир 3307","шт","853.00","","0.00"
"3310-2806032","Шкворень буксир 3310 Валдай","шт","798.00","","0.00"
"00120-0-3001019-00","Шкворень ЗИЛ 130,ПАЗ 672","шт","278.00","","0.00"
"К3205-3001019","Шкворень ПАЗ 3205 голый (КМД)","шт","238.00","","0.00"
"03205-0-3001019-000","Шкворень ПАЗ 3205 голый г.Н.Новгород","шт","259.00","","0.00"
"111-3001019-10","Шкворень ПАЗ/КАВЗ  н/о под 2 клина КААЗ","шт","914.00","","0.00"
"111-3001019","Шкворень ПАЗ/КАВЗ КААЗ","шт","760.00","","0.00"
"00402-50-1308025-000","Шкив вентилятора 3302","шт","641.00","","0.00"
"00021-00-1308025-020","Шкив вентилятора УАЗ 4178 дв,4218 дв,4213 дв","шт","159.00","","0.00"
"04216-00-1308025-020","Шкив водяного насоса 3302 ""Газель Бизнес"" (поликлиновой ремень)","шт","1,216.00","","0.00"
"402-27-1308027","Шкив водяного насоса 402 дв.внут","шт","664.00","","0.00"
"402-27-1308026","Шкив водяного насоса 402 дв.нар","шт","650.00","","0.00"
"406-1308025-11","Шкив водяного насоса 406 дв.","шт","115.00","","0.00"
"421-1308025-01","Шкив водяного насоса 4215 дв,4216 дв 3302","шт","535.00","","0.00"
"53-1307055","Шкив водяного насоса ГАЗ-3307,3308,ПАЗ-3205,3206,66,КАВЗ с дв. 511,513,523 внут (ЗМЗ)","шт","644.00","","0.00"
"5267177 / 5265246","Шкив воздушного компрессора ISF3.8","шт","2,432.00","","0.00"
"191-3771-51","Шкив генератора 3302 дв.402 ","шт","363.00","","0.00"
"","Шкив генератора 406 дв. (БАТЭ)","шт","348.00","","0.00"
"5282176 / 5305218","Шкив коленвала (с демпфером D=138.5мм) ISF2.8","шт","4,500.00","","0.00"
"00672-11-1005060-000","Шкив коленвала 523 ПАЗ","шт","2,025.00","","0.00"
"53-1005060","Шкив коленвала 53","шт","2,855.00","","0.00"
"00240-0-1005131-00К","Шкив коленвала дв.240 5-х руч. шлиц. Е-2 ПАЗ Аврора!!!!","шт","10,920.00","","0.00"
"406-1005050-30","Шкив коленвала с демпфер 3110,3302 (дв.406) (ЗМЗ)","шт","2,097.00","","0.00"
"3205-3509133","Шкив компрессора ПАЗ (литой)","шт","2,805.00","","0.00"
"5313910 / 5256953","Шкив насоса ГУР ISF2.8","шт","800.00","","0.00"
"04216-00-1308111-000","Шкив натяжителя ""Газель Бизнес"" (4216)","шт","676.00","","0.00"
"4216-1005074     ","Шкив привода вентилятора 3302 ""Газель Бизнес""","шт","1,450.00","","0.00"
"421-1005074-10","Шкив привода вентилятора дв 4216-10","шт","1,214.00","","0.00"
"00421-00-1005074-021     ","Шкив привода вентилятора дв 4216-20","шт","985.00","","0.00"
"00420-00-1005074-001","Шкив привода ГУРа 4213 дв,4218 дв","шт","853.00","","0.00"
"00421-00-1005074-001     ","Шкив привода ГУРа 4215 дв","шт","962.00","","0.00"
"3205-1308132","Шкив промежуточной опоры ПАЗ","шт","1,995.00","","0.00"
"00406-24-1014203-000","Шланг вентиляции 40524,40525,40904 ЕВРО-3","шт","70.00","","0.00"
"2122-1109300","Шланг воздушного фильтра (воздухоподводящий) ГАЗель Next дв. Cummins 2.8 ГАЗ","шт","380.00","","0.00"
"","Шланг воздушный продува с пистолетом (5,5 м.)","шт","287.00","","0.00"
"2222-1172111     ","Шланг ГАЗель NEXT силикон","шт","1,029.00","","0.00"
"4116-1109300","Шланг ГАЗон Next с ГБО","шт","1,252.00","","0.00"
"3308-3125050","Шланг гибкий подвода воздуха к переднему и заднему мосту 3308","шт","1,240.00","","0.00"
"3302-42-3408180","Шланг ГУР 3302,2217 сливной","шт","68.00","","0.00"
"3302-42-3408198","Шланг ГУР 330242 всасывающий","шт","124.00","","0.00"
"3308-10-3408140","Шланг ГУР 3308,3309 (нагнетательный+сливной) к-т (ГАЗ)","шт","1,948.00","","0.00"
"03308-10-3408198-090","Шланг ГУР 33081 всасывающий класс ПРОФЕССИОНАЛ","шт","1,288.00","","0.00"
"5788-06-3408151","Шланг ГУР 33081,3309 нагнетат","шт","846.00","","0.00"
"3309-3408150-01","Шланг ГУР 3309 нагнет.дв.Камминз (ГАЗ)","шт","1,313.00","","0.00"
"3309-70-3408150","Шланг ГУР 3309 нагнетат","шт","770.00","","0.00"
"3309-70-3408070","Шланг ГУР 3309 силов цилинд длин с након","шт","853.00","","0.00"
"3309-70-3408040","Шланг ГУР 3309 силов цилинд корот с након (ГАЗ)","шт","779.00","","0.00"
"К330813408142","Шланг ГУР 3309,4301 2м.","шт","621.00","","0.00"
"3310-40-3408150-01","Шланг ГУР 33104 Валдай","шт","1,727.00","","0.00"
"3310-40-3408198-90","Шланг ГУР 33104 Валдай всасывающий класс ПРОФЕССИОНАЛ","шт","618.00","","0.00"
"3310-60-3408161-10","Шланг ГУР Валдай 331063 с дв.Камминз нагнет с наконечником (ГАЗ)","шт","1,231.00","","0.00"
"","Шланг ГУР Валдай всасывающий","шт","458.00","","0.00"
"К3310-40-3408150","Шланг ГУР Валдай нагнетательный","шт","412.00","","0.00"
"3310-60-3408161","Шланг ГУР Валдай с дв.Камминз нагнет с наконечником (ГАЗ)","шт","1,165.00","","0.00"
"К3110-50-3408161-01","Шланг ГУР Волга 31105","шт","182.00","","0.00"
"2122-3408150","Шланг ГУР Газель NEXT нагнетат. дв. Камминс","шт","2,368.00","","0.00"
"КА21R22.3408184","Шланг ГУР Газель NEXT обратка дв. Камминс","шт","500.00","","0.00"
"К8090341-111","Шланг ГУР Газель Бизнес нагнетат. дв. Камминс (трубка+штуцер)","шт","1,000.00","","0.00"
"341.105-10","Шланг ГУР Газель Бизнес нагнетательный L-690мм","шт","351.00","","0.00"
"3205-3408020","Шланг ГУР ПАЗ нагнетательный длинный (910мм) (Балаково)","шт","338.00","","0.00"
"3205-3408020-02","Шланг ГУР ПАЗ нагнетательный короткий (580мм) (Балаково)","шт","232.00","","0.00"
"3205-3408020-01","Шланг ГУР ПАЗ нагнетательный средний (750мм) (Балаково)","шт","268.00","","0.00"
"3302-42-3408150","Шланг ГУР Соболь","шт","265.00","","0.00"
"","Шланг карбюратора,трамблера (силикон)","шт","50.00","","0.00"
"5289856 / 5262614","Шланг клапана ЕГР ISF2.8","шт","262.00","","0.00"
"К240-3509150-01","Шланг маслопровода дв.245 Е-3 (410мм) кольцо-кольцо, а должно быть штуцер-кольцо (КМД)","шт","120.00","","0.00"
"240-3509150-01","Шланг маслопровода дв.245 Е-3 (410мм) штуцер-кольцо","шт","575.00","","0.00"
"К240-3509150","Шланг маслопровода дв.245.7 (352мм) кольцо-кольцо, а должно быть штуцер-кольцо (КМД)","шт","100.00","","0.00"
"240-3509150","Шланг маслопровода дв.245.7 (352мм) штуцер-кольцо","шт","663.00","","0.00"
"3302-1023121-10     ","Шланг масляного радиатора 3302 ""Газель Бизнес""","шт","107.00","","0.00"
"3111-1013100     ","Шланг масляного радиатора в сб","шт","207.00","","0.00"
"11-3116010-02","Шланг межколесный с кронштейном (Москва)","шт","135.00","","0.00"
"8090341-105","Шланг нагнетательный ГУР 3302 ""Газель Бизнес""","шт","1,687.00","","0.00"
"","Шланг обратки ГАЗ,ВАЗ d-3.8 ","шт","80.00","","0.00"
"","Шланг обратки ГАЗ,ВАЗ d-3.8 завод","шт","55.00","","0.00"
"11-5208300","Шланг омывателя с форсунками 31105,3302,2101-2112  (завод)","шт","159.00","","0.00"
"2101-5208300","Шланг омывателя с форсунками 31105,3302,2101-2112  (универсал)","шт","34.00","","0.00"
"8,5-1,6","Шланг отопителя (d-10мм)","шт","119.00","","0.00"
"8,5-1,6","Шланг отопителя (d-12мм)","м","119.00","","0.00"
"х23-1,6","Шланг отопителя (d-14мм)","м","128.00","","0.00"
"23162040                 ","Шланг отопителя (d-16мм)","шт","152.00","","0.00"
"КПС-20000-16","Шланг отопителя (d-16мм) силикон (КМД)","шт","287.00","","0.00"
"23159371                 ","Шланг отопителя (d-18мм)","шт","153.00","","0.00"
"КПС-20000-18","Шланг отопителя (d-18мм) силикон (КМД)","шт","297.00","","0.00"
"х29-1,6","Шланг отопителя (d-20мм)","шт","170.00","","0.00"
"КПС-20000-20","Шланг отопителя (d-20мм) силикон (КМД)","шт","446.00","","0.00"
"х15,5-1","Шланг отопителя (d-8мм)","шт","129.00","","0.00"
"3310-40-1172111     ","Шланг охладителя угловой 3310 Валдай бол.кривой чёрн (БРТ)","шт","734.00","","0.00"
"3307-8102060","Шланг патрубка обогрева лоб стекла (гофра)","шт","45.00","","0.00"
"03102-00-8103122-001     ","Шланг патрубка распределителя 3102,3110","шт","30.00","","0.00"
"5260415","Шланг подачи масла к ТКР ISF3.8 (С)","шт","461.00","","0.00"
"3310-60-3509058","Шланг подвода воздуха к компрессору 3310 дв.Камминз","шт","112.00","","0.00"
"3310-60-3509058-10","Шланг подвода воздуха к компрессору 3310 дв.Камминз Е-4 (ВПТ)","шт","175.00","","0.00"
"4113-3509058","Шланг подвода воздуха к компрессору ГАЗон Next дв. ЯМЗ 5344","шт","374.00","","0.00"
"","Шланг подкачки 12м (КМД)","шт","463.00","","0.00"
"66-02-4224039","Шланг подкачки 66 зад.колеса","шт","710.00","","0.00"
"66-02-4224038","Шланг подкачки 66 перед.колеса","шт","696.00","","0.00"
"К5320-3929010","Шланг подкачки 6м (КМД)","шт","233.00","","0.00"
"5287704 / 5269273","Шланг слива ОЖ с компрессора ISF3.8","шт","738.00","","0.00"
"52-1601230-10     ","Шланг смазки выжимн подш-ка 53","шт","116.00","","0.00"
"К3205-3509055-30","Шланг смазки компрессора ПАЗ 2штуцера L-37см.","шт","29.00","","0.00"
"24-1602590","Шланг сцепления 2410 (дв.402) (ДЗТА)","шт","156.00","","0.00"
"3102-90-1602590","Шланг сцепления 31029,3110 (дв.406) (TRIALLI)","шт","183.00","","0.00"
"3102-90-1602590-50","Шланг сцепления 31029,3110 (дв.406) (ДЗТА)","шт","171.00","","0.00"
"3302-1602590","Шланг сцепления 3302,3310 Валдай нов обр (ДЗТА)","шт","171.00","","0.00"
"","Шланг топливный 2 штуцера L-0,4м.","шт","75.00","","0.00"
"4022-1104126-02","Шланг топливный 2х штуцерн","шт","161.00","","0.00"
"К240-1104160-05","Шланг топливный низкого давления (1050мм) (КМД)","шт","158.00","","0.00"
"К240-1104160-06","Шланг топливный низкого давления (1150мм) (КМД)","шт","167.00","","0.00"
"К240-1104160-07","Шланг топливный низкого давления (1500мм) (КМД)","шт","166.00","","0.00"
"К240-1104160","Шланг топливный низкого давления (350мм) (КМД)","шт","94.00","","0.00"
"К240-1104160-01","Шланг топливный низкого давления (450мм) (КМД)","шт","103.00","","0.00"
"К240-1104160-02","Шланг топливный низкого давления (550мм) (КМД)","шт","112.00","","0.00"
"К240-1104160-03","Шланг топливный низкого давления (650мм) (КМД)","шт","121.00","","0.00"
"К240-1104160-04","Шланг топливный низкого давления (700мм) (КМД)","шт","126.00","","0.00"
"451-11-1104134-10","Шланг топливный УАЗ 4178 дв,4218 дв (от бензонасоса к фильтру тонк.очистки)","шт","388.00","","0.00"
"3110-3506025","Шланг тормозной 3110,2217 пер (ДЗТА)","шт","190.00","","0.00"
"24-3506025-10","Шланг тормозной 3110,3302 задн (ДЗТА)","шт","207.00","","0.00"
"3302-3506025-20","Шланг тормозной 3302 ""Газель-Бизнес""","шт","198.00","","0.00"
"3302-3506025-30","Шланг тормозной 3302 ""Газель-Бизнес"" пром (ДЗТА)","шт","179.00","","0.00"
"3302-3506025-40","Шланг тормозной 3302 ""Газель-Бизнес"" пром с ABS (ДЗТА)","шт","146.00","","0.00"
"3302-3506025-10","Шланг тормозной 3302 пер к суппорту длин (ДЗТА)","шт","210.00","","0.00"
"3302-07-3506025-10","Шланг тормозной 33027 пер (ДЗТА)","шт","179.00","","0.00"
"3309-3506025","Шланг тормозной 3309 (ДЗТА)","шт","191.00","","0.00"
"3310-40-3506228","Шланг тормозной 3310 Валдай (от компрессора к воздухоосушителю) (АЛ-Компани/ГАЗ)","шт","1,228.00","","0.00"
"3310-40-3506025","Шланг тормозной 3310 Валдай задний (АЛ-Компани/ГАЗ)","шт","256.00","","0.00"
"К3310-40-3506025","Шланг тормозной 3310 Валдай задний гайка/гайка бронированный (КМД)","шт","200.00","","0.00"
"3310-40-3506025-10","Шланг тормозной 3310 Валдай передний (АЛ-Компани/ГАЗ)","шт","260.00","","0.00"
"К3310-40-3506025-10","Шланг тормозной 3310 Валдай передний штуцер/гайка бронированный (КМД)","шт","200.00","","0.00"
"51-3506025-02","Шланг тормозной 53,3307 зад,сцепления 3302 (ДЗТА)","шт","202.00","","0.00"
"53-3506025-01","Шланг тормозной 53,3307 пер,ПАЗ задний (ДЗТА)","шт","178.00","","0.00"
